季度,季度均价_元每公斤,季末价格_元每公斤,季内最高_元每公斤,季内最低_元每公斤,交易日数,报告日期,猪价环比_%,猪价同比_%,四季均线,猪周期阶段,报告期,单季营业收入,单季归母净利润,营收同比_%,归母净利润同比_%,毛利率_%,净利率_%,摊薄ROE_%,单季经营现金流,单季自由现金流,单季营业收入_亿元,单季归母净利润_亿元,单季经营现金流_亿元,单季自由现金流_亿元,季末后复权收盘价,季内最高价,季内最低价,股价季度收益_%,股价年度收益_%
2021Q2,19.31,13.71,25.25,13.46,13,2021-06-30,-39.31142857142858,-40.19535437760573,29.84590763403263,下行期,二季度,21385869465.66,2562908557.43,64.9773580184,-61.4753221008,20.530758637662,14.560299690691,4.4808940238,8442190319.19,612675460.6600008,213.8586946566,25.6290855743,84.4219031919,6.126754606600008,1070.939,1419.669,940.706,-13.299174554651339,5.56063182277422
2021Q3,14.639166666666666,11.6,16.18,11.6,12,2021-09-30,-24.188675988261686,-60.42892590051221,24.25704545454545,下行期,三季度,14743838256.9,-821714334.22,-18.6847393881,-108.0530262913,-0.409466723577,-9.824705362134,-1.4668775874,95146925.34000015,-5808106154.0,147.438382569,-8.2171433422,0.9514692534000015,-58.08106154,918.086,1090.988,697.203,-14.272801718865413,0.16157450592131362
2021Q4,16.58090909090909,16.13,18.57,12.27,11,2021-12-31,13.264022935566167,-46.959478289950404,20.587064393939393,低位筑底,四季度,22608066798.12,-1800488531.93,32.1142492604,-127.8558437078,-1.61950414907,-9.182939260701,-3.2572991822,3001861321.9799995,-4626191201.48,226.08066798119998,-18.0048853193,30.018613219799995,-46.2619120148,943.105,1075.737,816.984,2.72512596859118,-1.1988907850723152
2022Q1,13.382727272727273,12.19,16.28,11.89,11,2022-03-31,-19.288338176435094,-57.93999999999999,15.978200757575756,下行期,一季度,18277656240.56,-5180230377.25,-9.3014632369,-174.3957606179,-23.0337891362,-31.510446007292,-9.8809792032,-58213007.43,-5972480268.690001,182.7765624056,-51.8023037725,-0.5821300743,-59.724802686900006,1003.081,1102.812,842.174,6.359419152692425,-18.7928064170361
2022Q2,14.996153846153845,17.38,17.38,12.53,13,2022-06-30,12.056037163027167,-22.33995936740628,14.899739219114217,上行期,二季度,25989992497.48,-1503365518.96,21.5288091944,-158.658570342,0.0419792661,-6.266244666088,-3.0526963367,248631593.59,-1808650247.8099997,259.8999249748,-15.033655189600001,2.4863159359,-18.086502478099998,980.085,1048.286,846.115,-2.2925366944444137,-8.483583098570513
2022Q3,22.566153846153846,24.37,24.37,20.06,13,2022-09-30,50.47961015645037,54.14916955305182,16.881486013986013,上行期,三季度,36505891324.79,8195894873.6,147.6010024575,1097.4141294955,30.22070327525,25.23747130032,15.6886778685,9669009021.89,6027260966.57,365.0589132479,81.95894873600001,96.6900902189,60.272609665699996,967.233,1163.782,948.04,-1.3113148349377934,5.353202205457874
2022Q4,23.85923076923077,16.27,28.11,16.27,13,2022-12-31,5.7301608944641425,43.89579388208702,18.70106643356643,上行期,四季度,44052672114.91,11753857535.0,94.8537772304,752.8149069853,34.063636280082,29.755752911055,18.3265254763,13151123193.880001,9025501405.84,440.5267211491,117.53857535,131.51123193880002,90.25501405840001,868.358,1058.567,814.208,-10.22245932469219,-7.925628641561655
2023Q1,15.262727272727272,15.19,17.32,13.99,11,2023-03-31,-36.03009493327707,14.047958698457986,19.171066433566434,下行期,一季度,24198301291.41,-1198054174.39,32.3928022988,76.8725696129,1.882968017353,-4.961072967862,-1.6863300093,-3853793609.91,-7912389161.16,241.9830129141,-11.980541743900002,-38.5379360991,-79.1238916116,872.642,914.625,833.572,0.4933449107396015,-13.003835183798717
2023Q2,14.379999999999999,14.22,14.83,14.17,13,2023-06-30,-5.783548752159151,-4.108745832264682,19.01702797202797,下行期,二季度,27670673174.68,-1581163482.85,6.4666454881,-5.1749200649,1.013517120706,-5.741561729383,-2.3516913759,2809751622.2599998,-2686218716.31,276.7067317468,-15.811634828499999,28.097516222599996,-26.8621871631,755.26,918.224,706.765,-13.451335140871057,-22.939336894248974
2023Q3,15.924615384615386,16.25,17.29,13.83,13,2023-09-30,10.741414357547896,-29.431415325879463,17.356643356643357,低位筑底,三季度,31099681034.63,936888334.97,-14.8091447544,-88.5688097588,9.975657956348,3.569102607689,1.4482356351,7732067647.65,3444517696.029999,310.99681034630004,9.3688833497,77.3206764765,34.44517696029999,694.813,808.082,694.813,-8.003469004051588,-28.16487857630995
2023Q4,14.760909090909092,14.6,15.5,14.04,11,2023-12-31,-7.307594347493874,-38.133340367599,15.082062937062936,下行期,四季度,27892072213.68,-2420951498.04,-36.6847210972,-120.5970804975,-1.407386889661,-8.922335799416,-3.7813213395,3204791203.7199993,31181641.60000038,278.9207221368,-24.209514980399998,32.04791203719999,0.3118164160000038,751.191,759.416,579.659,8.114125671223782,-13.492937244776915
2024Q1,14.372727272727273,15.05,15.55,13.61,11,2024-03-31,-2.6297961446079987,-5.8311989993447995,14.859562937062936,低位筑底,一季度,26272049758.43,-2378911751.33,8.5698100955,-98.5646227176,-2.500498284148,-9.358948051136,-3.8367911126,5066779306.59,254567775.42000008,262.7204975843,-23.7891175133,50.6677930659,2.5456777542000006,784.949,785.12,632.267,4.493930305341776,-10.049138134538572
2024Q2,16.308333333333334,18.23,18.77,15.03,12,2024-06-30,13.467214842926412,13.409828465461304,15.341646270396271,上行期,二季度,30594060331.4,3208199959.77,10.5649296577,302.9012176519,16.536627731062,11.386449347244,5.1224480479,10407050973.78,9219298031.68,305.94060331400004,32.0819995977,104.07050973780001,92.1929803168,792.66,903.53,763.871,0.9823568155383322,4.951937081270019
2024Q3,19.39071428571429,18.09,21.03,17.64,14,2024-09-30,18.900649682458592,21.765667913383126,16.208170995670997,上行期,三季度,39909015476.48,9651780244.34,28.3261247343,930.19536951,30.838812579236,25.610408681075,14.1586126904,13704043671.449999,9538922287.34,399.09015476480005,96.5178024434,137.04043671449998,95.3892228734,839.098,849.723,645.633,5.858501753589174,20.766019058365348
2024Q4,16.745833333333334,15.79,18.1,15.71,12,2024-12-31,-13.639935658943292,13.4471679908029,16.704402056277058,高位震荡,四季度,41171766510.56,7400192032.49,47.6109992658,405.6728744248,28.947297270942,18.652085875694,10.2576344621,8365192262.669998,6149552308.049997,411.71766510559996,74.0019203249,83.65192262669999,61.49552308049997,718.37,915.696,705.438,-14.387830742058727,-4.369195051591412
2025Q1,15.191666666666668,14.73,16.23,14.68,12,2025-03-31,-9.28091565065936,5.697870546067896,16.90913690476191,下行期,一季度,36061237090.13,4491095122.49,37.2608434504,288.7877984536,19.798678089011,12.809591184808,6.0535846065,7506015637.01,4639159097.3,360.6123709013,44.910951224899996,75.0601563701,46.391590973,723.339,748.529,671.76,0.6917048317719443,-7.8489175729888006
2025Q2,14.643333333333333,14.73,15.02,14.14,12,2025-06-30,-3.609434997257277,-10.209504343382736,16.492886904761907,低位筑底,二季度,40401515589.61,6038955975.93,32.0567298096,88.2350243643,18.321773705127,15.274104158847,7.802848637,9844794302.390001,7485826655.780002,404.0151558961,60.389559759300006,98.44794302390001,74.85826655780002,789.216,823.585,702.776,9.1073480069511,-0.4344864128377868
2025Q3,13.972307692307691,12.54,15.39,12.54,13,2025-09-30,-4.582465110578027,-27.943305819314233,15.138285256410256,低位筑底,三季度,35327252198.98,4248853858.67,-11.4805219392,-55.9785474689,18.095407765636,12.2337751465,5.4713589069,11228732908.07,9167969957.65,353.27252198980005,42.4885385867,112.28732908069999,91.6796995765,977.54,1092.009,783.218,23.862161942991513,16.498907159831155
2025Q4,11.613333333333335,11.78,12.44,11.05,12,2025-12-31,-16.883212214636988,-30.64941527743219,13.855160256410256,下行期,四季度,32354960492.96,707986296.95,-21.4146896401,-90.4328658791,14.678976979074,2.162556569347,0.9161338487,1476644067.0,-765698448.1900005,323.5496049296,7.079862969500001,14.76644067,-7.656984481900006,951.763,1001.531,888.36,-2.6369253432084516,32.48924648857832
2026Q1,11.558181818181819,9.51,13.12,9.51,11,2026-03-31,-0.47489823609228043,-23.917618311474598,12.946789044289044,低位筑底,一季度,29893668691.43,-1214841304.35,-17.1030416491,-127.0500016414,5.171922017063,-4.088323935297,-1.4728136543,-919971284.57,-5411253991.7699995,298.9366869143,-12.1484130435,-9.1997128457,-54.1125399177,799.766,973.525,791.541,-15.970047165103086,10.5658619264273
